,ID,edad,meses,max_ant,ingreso,score,tipo_vivienda,zona,nivel,riesgo
0,2208,33,128,6,3230,192,2,3.0,2,1
1,2211,32,185,7,2930,217,2,1.0,5,1
2,2212,28,184,7,1884,202,2,1.0,2,1
3,2216,56,200,0,850,194,2,1.0,5,1
4,2218,32,131,65,3200,200,2,1.0,2,1
5,2219,34,145,6,7000,196,2,5.0,2,1
6,2226,37,114,0,2172,178,2,2.0,1,1
7,2227,27,116,0,800,169,2,1.0,5,1
8,2228,26,182,6,3150,190,4,3.0,5,1
9,2230,25,154,1,2600,189,2,1.0,2,1
10,2233,49,203,0,6350,224,4,1.0,2,1
11,2234,49,159,0,3330,221,2,1.0,5,1
12,2235,28,127,0,1400,177,2,1.0,5,1
13,2236,30,137,0,6000,192,2,1.0,5,1
14,2238,45,151,18,1050,173,2,4.0,5,1
15,2240,21,118,0,4497,175,4,1.0,5,1
16,2244,37,330,8,2432,174,2,3.0,5,1
17,2247,36,257,0,1400,186,2,3.0,2,1
18,2248,32,163,0,3000,175,2,3.0,5,1
19,2252,25,128,0,890,169,2,1.0,5,1
20,2254,32,127,0,1200,175,2,1.0,5,1
21,2258,38,151,0,2000,180,2,1.0,5,1
22,2261,26,148,12,2053,196,2,1.0,2,1
23,2262,26,142,21,1500,178,2,3.0,2,1
24,2263,40,130,5,3487,216,4,2.0,5,1
25,2264,30,119,0,2834,211,2,1.0,5,1
26,2267,24,110,0,909,156,2,1.0,5,1
27,2269,35,184,0,9072,210,4,3.0,5,1
28,2270,29,147,0,1500,196,4,1.0,5,1
29,2274,23,162,8,1118,168,4,5.0,5,1
30,2276,31,193,23,4497,213,4,1.0,1,1
31,2277,38,150,7,11477,189,4,1.0,2,1
32,2282,53,277,0,1200,183,2,1.0,5,1
33,2285,29,152,16,8500,173,2,1.0,2,1
34,2290,37,182,0,5000,214,4,1.0,2,1
35,2291,29,150,0,8300,192,2,3.0,5,1
36,2292,34,162,0,2580,213,2,1.0,5,1
37,2293,22,95,14,7200,181,2,1.0,2,1
38,2294,22,124,0,900,175,4,1.0,5,1
39,2295,29,122,0,1300,175,2,1.0,5,1
40,2298,31,128,14,1460,170,2,4.0,5,1
41,2299,27,164,0,3914,196,2,1.0,5,1
42,2300,25,133,0,966,188,4,4.0,5,1
43,2306,48,181,0,6800,205,2,1.0,2,1
44,2309,25,144,0,796,163,3,1.0,5,1
45,2310,32,222,6,2613,214,2,1.0,2,1
46,2315,28,130,12,609,194,2,1.0,5,1
47,2316,37,144,3,2500,187,2,1.0,5,1
48,2317,23,127,12,2142,176,2,1.0,2,1
49,2318,21,131,27,1200,175,2,1.0,5,1
50,2319,27,126,0,840,154,2,1.0,5,1
51,2322,30,150,8,4000,193,2,1.0,2,1
52,2323,25,126,0,1072,169,2,1.0,5,1
53,2324,34,182,42,2249,219,4,4.0,2,1
54,2325,38,117,0,909,171,2,1.0,2,1
55,2326,30,117,0,3350,219,2,1.0,2,1
56,2327,37,147,14,594,188,2,1.0,5,1
57,2328,71,126,12,2825,230,4,1.0,5,1
58,2330,33,151,18,2100,175,2,3.0,2,1
59,2331,37,116,0,902,168,4,1.0,5,1
60,2334,31,119,0,1168,168,2,3.0,5,1
61,2335,21,145,0,852,156,2,1.0,5,1
62,2336,45,161,0,19558,240,4,1.0,1,1
63,2337,64,210,0,415,194,2,1.0,5,1
64,2339,42,125,0,1200,183,2,1.0,2,1
65,2340,41,157,20,9755,224,2,1.0,2,1
66,2341,30,136,11,4497,173,2,1.0,2,1
67,2343,42,134,0,1207,180,2,3.0,5,1
68,2344,25,131,0,800,163,2,1.0,2,1
69,2347,35,121,0,1800,182,2,2.0,5,1
70,2349,35,126,0,2348,194,2,5.0,5,1
71,2350,41,262,80,3500,199,4,1.0,2,1
72,2351,48,142,12,2300,214,4,1.0,5,1
73,2356,30,134,0,3500,219,4,2.0,2,1
74,2358,39,147,96,2000,182,2,1.0,2,1
75,2359,30,134,11,1600,181,2,1.0,2,1
76,2360,25,127,0,1200,169,2,1.0,5,1
77,2362,43,129,0,1239,201,4,4.0,5,1
78,2363,43,179,0,1700,156,2,3.0,5,1
79,2364,41,156,25,2750,216,2,1.0,5,1
80,2365,34,178,8,3800,216,2,1.0,2,1
81,2366,26,150,0,6600,188,4,1.0,2,1
82,2367,22,162,23,3400,192,2,3.0,5,1
83,2368,37,149,17,2300,187,2,1.0,2,1
84,2370,43,241,0,5500,205,2,1.0,2,1
85,2373,46,181,80,9300,208,4,1.0,5,1
86,2374,22,162,24,3400,192,2,3.0,5,1
87,2375,20,121,0,664,156,2,1.0,5,1
88,2378,28,142,14,2100,186,2,1.0,5,1
89,2380,29,148,8,700,188,2,3.0,2,1
90,2381,23,111,7,2100,214,2,1.0,4,1
91,2382,29,107,11,3178,192,2,1.0,5,1
92,2383,27,126,0,2053,193,4,4.0,5,1
93,2384,31,218,0,3300,202,1,1.0,2,1
94,2385,24,166,0,4497,176,2,1.0,2,1
95,2387,41,141,0,3420,214,4,2.0,1,1
96,2389,29,159,17,1157,163,2,4.0,2,1
97,2391,27,122,27,2000,188,2,1.0,2,1
98,2392,35,111,0,813,177,2,1.0,5,1
99,2394,28,137,0,2000,175,3,1.0,5,1
100,2395,31,130,2,2500,200,2,1.0,2,1
101,2401,26,166,7,1445,169,2,2.0,5,1
102,2402,55,153,17,2069,179,2,1.0,5,1
103,2404,27,129,0,800,169,2,1.0,5,1
104,2405,28,138,0,1400,185,2,1.0,2,1
105,2408,34,117,0,1013,170,2,1.0,5,1
106,2409,37,145,0,1350,156,2,3.0,5,1
107,2410,33,186,10,2120,186,1,3.0,2,1
108,2411,46,140,0,1500,182,2,1.0,5,1
109,2412,29,126,7,767,178,2,1.0,2,1
110,2413,41,172,10,1200,200,2,1.0,2,1
111,2415,43,138,40,2000,185,2,1.0,5,1
112,2416,36,171,19,1530,177,2,3.0,5,1
113,2418,43,177,11,6000,170,2,3.0,2,1
114,2420,30,175,39,6000,180,2,1.0,2,1
115,2421,36,194,42,1600,180,2,1.0,5,1
116,2422,25,131,0,712,191,4,1.0,4,1
117,2424,34,131,10,4220,188,2,2.0,2,1
118,2428,30,131,0,1468,176,3,1.0,5,1
119,2432,33,141,15,1424,204,4,1.0,2,1
120,2434,31,157,0,800,194,2,1.0,5,1
121,2436,48,136,0,1800,204,4,3.0,5,1
122,2437,46,234,0,1800,186,2,1.0,5,1
123,2438,28,110,7,1536,194,2,1.0,5,1
124,2439,21,145,0,1233,175,4,1.0,5,1
125,2440,32,183,0,2000,199,2,3.0,5,1
126,2441,47,128,8,1420,182,2,1.0,5,1
127,2444,33,130,15,1642,180,2,3.0,1,1
128,2445,27,222,24,3542,197,2,1.0,5,1
129,2446,28,189,36,3000,190,2,3.0,5,1
130,2447,33,196,8,2200,172,2,1.0,5,1
131,2448,24,135,34,1376,158,2,1.0,5,1
132,2449,23,119,27,1900,163,2,3.0,3,1
133,2451,36,122,0,1246,182,2,1.0,5,1
134,2454,26,134,7,674,169,2,1.0,5,1
135,2455,31,128,0,3367,219,2,1.0,2,1
136,2459,33,180,65,30000,235,4,3.0,2,1
137,2462,34,184,29,1600,175,2,1.0,5,1
138,2463,48,461,81,4362,173,4,1.0,2,1
139,2464,23,133,0,4500,173,2,3.0,5,1
140,2466,41,127,0,2074,216,4,1.0,5,1
141,2467,27,117,0,850,162,2,2.0,5,1
142,2468,37,193,39,780,155,2,1.0,5,1
143,2470,27,116,0,856,193,2,3.0,5,1
144,2472,48,156,22,2100,181,4,1.0,1,1
145,2473,54,122,0,1500,215,4,3.0,5,1
146,2476,33,122,0,675,215,4,1.0,5,1
147,2480,30,193,62,2600,204,4,4.0,5,1
148,2482,33,170,46,3000,195,2,1.0,2,1
149,2483,61,175,0,1200,194,2,5.0,5,1
150,2486,29,177,0,1428,204,2,1.0,1,1
151,2487,21,156,0,900,173,2,1.0,5,1
152,2488,36,166,0,1800,182,2,3.0,5,1
153,2489,63,325,0,1231,194,2,1.0,5,1
154,2492,27,142,0,824,169,2,1.0,5,1
155,2493,38,150,51,5000,194,2,1.0,5,1
156,2495,37,138,0,742,175,2,1.0,1,1
157,2496,37,205,59,15531,197,2,3.0,2,1
158,2498,27,179,31,2400,205,2,3.0,2,1
159,2499,51,124,7,1200,166,3,1.0,5,1
160,2501,51,117,0,712,192,2,1.0,5,1
161,2505,40,198,0,1600,186,2,3.0,2,1
162,2507,35,141,17,7000,221,4,1.0,2,1
163,2508,29,138,0,1300,175,2,1.0,5,1
164,2509,24,129,0,1400,179,2,1.0,4,1
165,2512,40,185,37,4699,178,2,3.0,2,1
166,2514,30,145,0,1050,175,2,2.0,5,1
167,2515,40,126,0,1944,185,2,1.0,5,1
168,2518,33,168,0,1400,177,2,1.0,5,1
169,2519,30,160,40,4000,219,2,1.0,2,1
170,2521,42,159,14,2150,197,2,1.0,5,1
171,2523,27,198,0,20000,194,2,1.0,2,1
172,2524,54,134,110,2500,224,4,3.0,2,1
173,2525,21,117,0,891,175,2,1.0,5,1
174,2526,31,191,39,5200,175,2,2.0,2,1
175,2529,26,113,0,686,169,2,5.0,5,1
176,2530,53,149,0,1500,201,2,1.0,5,1
177,2531,46,194,0,1600,194,4,3.0,5,1
178,2533,46,135,16,1200,180,2,1.0,5,1
179,2534,23,108,0,1057,159,2,1.0,2,1
180,2535,35,130,27,18265,201,4,3.0,2,1
181,2536,21,133,0,5000,178,2,1.0,1,1
182,2537,30,147,2,3500,188,2,1.0,2,1
183,2538,40,160,7,3500,204,2,1.0,2,1
184,2539,31,132,23,2100,202,2,1.0,5,1
185,2540,29,117,0,900,194,2,3.0,5,1
186,2543,35,210,0,5000,190,2,3.0,1,1
187,2545,49,182,14,2900,216,4,3.0,5,1
188,2546,32,132,0,1715,180,2,1.0,5,1
189,2547,33,121,0,700,208,4,1.0,5,1
190,2549,39,143,0,2100,177,2,3.0,2,1
191,2550,23,110,0,2100,192,2,1.0,5,1
192,2551,41,303,0,2200,196,2,1.0,5,1
193,2555,36,189,46,3500,216,2,3.0,2,1
194,2556,31,157,0,1800,180,2,1.0,5,1
195,2557,32,158,21,900,192,4,1.0,1,1
196,2558,23,117,0,1500,151,2,1.0,5,1
197,2559,47,138,102,900,180,2,1.0,5,1
198,2560,38,126,14,2200,226,4,3.0,2,1
199,2566,35,117,0,2250,185,2,3.0,1,1
200,2567,30,129,0,866,175,2,3.0,5,1
201,2568,26,155,15,3200,227,2,1.0,2,1
202,2571,29,196,0,759,173,2,3.0,5,1
203,2572,30,182,27,2100,192,2,1.0,5,1
204,2578,55,498,0,2307,230,4,1.0,5,1
205,2581,27,132,0,680,196,2,3.0,2,1
206,2583,28,121,4,1200,178,2,1.0,2,1
207,2584,25,129,0,870,169,2,1.0,5,1
208,2585,25,128,2,800,169,2,1.0,5,1
209,2587,37,257,0,3905,185,2,1.0,5,1
210,2589,41,259,84,2100,177,2,1.0,5,1
211,2590,25,153,0,1945,169,2,4.0,2,1
212,2591,33,139,8,1500,216,4,3.0,2,1
213,2592,23,123,0,722,156,2,3.0,5,1
214,2593,32,157,0,2120,226,2,1.0,2,1
215,2596,31,195,8,1500,199,2,1.0,2,1
216,2598,28,178,36,1800,187,2,1.0,2,1
217,2599,24,122,0,2146,154,2,4.0,5,1
218,2602,34,128,0,1800,201,4,1.0,5,1
219,2604,23,138,13,1200,176,2,1.0,2,1
220,2606,29,133,7,7073,195,2,3.0,2,1
221,2609,33,118,0,1105,187,4,2.0,5,1
222,2612,54,148,0,1353,185,2,1.0,5,1
223,2613,42,363,21,2300,195,2,2.0,5,1
224,2615,27,124,12,995,188,4,1.0,5,1
225,2616,23,184,28,1095,175,4,1.0,5,1
226,2617,45,148,28,9000,199,2,5.0,2,1
227,2619,35,186,0,1300,189,2,1.0,5,1
228,2621,30,145,0,2000,221,4,3.0,2,1
229,2628,28,146,20,3800,195,2,3.0,2,1
230,2629,45,200,42,6000,223,4,1.0,2,1
231,2634,23,127,0,1510,194,4,1.0,5,1
232,2635,21,143,0,2085,159,3,3.0,5,1
233,2637,24,160,20,1268,175,4,1.0,5,1
234,2638,37,162,21,700,189,4,1.0,5,1
235,2640,22,125,0,790,156,2,2.0,5,1
236,2643,34,191,48,2400,190,2,1.0,2,1
237,2644,35,137,11,1245,179,2,3.0,5,1
238,2645,35,130,0,1200,177,2,1.0,5,1
239,2646,34,158,0,2200,194,2,1.0,5,1
240,2654,23,130,0,932,175,4,1.0,5,1
241,2656,25,127,0,656,169,2,1.0,5,1
242,2658,23,169,0,10000,175,2,1.0,2,1
243,2660,30,246,0,800,192,2,1.0,5,1
244,2662,25,113,27,5500,189,2,1.0,2,1
245,2663,39,187,81,8546,183,4,5.0,2,1
246,2664,36,180,44,1618,177,2,1.0,5,1
247,2666,34,140,0,1400,192,4,1.0,2,1
248,2668,25,141,0,730,169,2,1.0,5,1
249,2669,45,178,7,4000,193,2,1.0,2,1
250,2672,37,159,24,1000,184,2,1.0,2,1
251,2673,57,318,11,4176,211,2,1.0,5,1
252,2675,33,211,8,2800,195,2,5.0,2,1
